loss,accuracy,val_loss,val_accuracy
1.5900371074676514,0.26903820037841797,1.587368369102478,0.26271408796310425
0.5138536095619202,0.8658761382102966,0.1985931396484375,0.9552041888237
0.16411930322647095,0.9588054418563843,0.13527218997478485,0.9638998508453369
0.1238633394241333,0.9653052091598511,0.1187581941485405,0.9646903872489929
0.1054673120379448,0.9689064621925354,0.11552384495735168,0.9620553255081177
0.0923180803656578,0.973473846912384,0.11264016479253769,0.9620553255081177
0.08378855884075165,0.974352240562439,0.10689232498407364,0.9670619368553162
0.07447443902492523,0.9788317680358887,0.10202253609895706,0.9657443761825562
0.0663074404001236,0.9792709946632385,0.11060535162687302,0.9633728861808777
0.06078556180000305,0.9809398055076599,0.09704802185297012,0.9694334864616394
0.052762631326913834,0.9852437376976013,0.09453055262565613,0.9723320007324219
0.04750536382198334,0.9855072498321533,0.09494806081056595,0.9720684885978699
0.04089841619133949,0.9891963005065918,0.09562838822603226,0.9733860492706299
0.03688593581318855,0.9898989796638489,0.09550286829471588,0.9731225371360779
0.03289380297064781,0.991567850112915,0.09181084483861923,0.9725955128669739
0.02962617762386799,0.9921826720237732,0.09320470690727234,0.9731225371360779
0.026270825415849686,0.9935880303382874,0.09369531273841858,0.9754940867424011
0.022713100537657738,0.9945542216300964,0.09225688129663467,0.9754940867424011
0.019541267305612564,0.9956082701683044,0.09403783082962036,0.9741765260696411
0.017974546179175377,0.9956082701683044,0.09504781663417816,0.9739130139350891
0.016029778867959976,0.9959595799446106,0.09549064934253693,0.9760210514068604
0.015422376804053783,0.9962230920791626,0.0944230780005455,0.9754940867424011
0.012463769875466824,0.9973649382591248,0.09655435383319855,0.9754940867424011
0.010282200761139393,0.9978041052818298,0.10399139672517776,0.9720684885978699
0.010125418193638325,0.9975406527519226,0.10091730952262878,0.9744400382041931
0.008945455774664879,0.9979798197746277,0.1050199344754219,0.9749670624732971
0.00778109859675169,0.9978919625282288,0.10763578116893768,0.9760210514068604
0.006964795757085085,0.9980676174163818,0.10351049154996872,0.9760210514068604
0.004500166047364473,0.9990338087081909,0.11021501570940018,0.9733860492706299
0.0035426351241767406,0.9995608329772949,0.10750501602888107,0.9768115878105164
0.003542475402355194,0.9993851780891418,0.11154478788375854,0.9754940867424011
