loss,accuracy,val_loss,val_accuracy
1.846411943435669,0.08941590040922165,1.8580150604248047,0.08432147651910782
0.41992253065109253,0.869213879108429,0.15882450342178345,0.9520421624183655
0.14525242149829865,0.9551163911819458,0.11667225509881973,0.9631093740463257
0.11664879322052002,0.9638120532035828,0.10224640369415283,0.9670619368553162
0.10031537711620331,0.9684672951698303,0.09471600502729416,0.9704874753952026
0.08601662516593933,0.9721563458442688,0.08469367027282715,0.9741765260696411
0.07585367560386658,0.9746156930923462,0.07825824618339539,0.9744400382041931
0.06645136326551437,0.9786561131477356,0.07354564964771271,0.9776021242141724
0.05846043676137924,0.9813790321350098,0.07594770193099976,0.9768115878105164
0.052786581218242645,0.982960045337677,0.06690984964370728,0.9786561131477356
0.045840922743082047,0.9860342741012573,0.0640006735920906,0.9815546870231628
0.041392307728528976,0.9875274300575256,0.06226228177547455,0.9836627244949341
0.036967113614082336,0.9879665970802307,0.0603482648730278,0.9820817112922668
0.0324687622487545,0.9909530282020569,0.059684623032808304,0.9820817112922668
0.030096741393208504,0.990601658821106,0.06213220953941345,0.9818181991577148
0.026310516521334648,0.9921826720237732,0.06105755269527435,0.9831357002258301
0.02519066631793976,0.9924461841583252,0.06504768878221512,0.9818181991577148
0.022435486316680908,0.9933245778083801,0.057354677468538284,0.9847167134284973
0.01931283250451088,0.9945542216300964,0.060439709573984146,0.9831357002258301
0.01749708130955696,0.9954326152801514,0.060719165951013565,0.9823451638221741
0.016758443787693977,0.9957839250564575,0.06343773752450943,0.9831357002258301
0.014510750770568848,0.9961352944374084,0.06335728615522385,0.9844532012939453
0.013784993439912796,0.9956960678100586,0.0646234005689621,0.9828721880912781
0.012544898316264153,0.9961352944374084,0.0696992501616478,0.9844532012939453
0.010937691666185856,0.9971014261245728,0.06218068674206734,0.9855072498321533
0.008931998163461685,0.9977163076400757,0.06470616161823273,0.9839262366294861
0.010397383011877537,0.9963109493255615,0.06934988498687744,0.9844532012939453
