loss,accuracy,val_loss,val_accuracy
1.672615885734558,0.19042599201202393,1.6681861877441406,0.19367589056491852
0.8348669409751892,0.7471234202384949,0.324928879737854,0.940184473991394
0.22500519454479218,0.9466842412948608,0.16309286653995514,0.9575757384300232
0.14720140397548676,0.9588932991027832,0.13419212400913239,0.9612648487091064
0.12127542495727539,0.96539306640625,0.1196766197681427,0.9652174115180969
0.10719384998083115,0.9691699743270874,0.11276917904615402,0.9678524136543274
0.0978899896144867,0.9717171788215637,0.10883254557847977,0.9667984247207642
0.08953475952148438,0.973298192024231,0.10462541878223419,0.9704874753952026
0.08276395499706268,0.9762845635414124,0.10209522396326065,0.9696969985961914
0.07689301669597626,0.9771629571914673,0.10082671046257019,0.9696969985961914
0.07079164683818817,0.9789196252822876,0.09740685671567917,0.9710144996643066
0.06643766909837723,0.9805884957313538,0.09771955758333206,0.9702239632606506
0.06260458379983902,0.9805884957313538,0.09470868855714798,0.9718050360679626
0.05740673467516899,0.9826086759567261,0.09507925063371658,0.9704874753952026
0.053724199533462524,0.9843654036521912,0.09130091965198517,0.9739130139350891
0.05039042606949806,0.9847167134284973,0.0922127291560173,0.9718050360679626
0.04837168753147125,0.9868247509002686,0.09021296352148056,0.9736495614051819
0.04409844055771828,0.9872639179229736,0.0903797596693039,0.9739130139350891
0.041264764964580536,0.9882301092147827,0.09169811755418777,0.9741765260696411
0.03937093913555145,0.9876152873039246,0.09013105928897858,0.9741765260696411
0.03629637882113457,0.9899868369102478,0.09798575937747955,0.9720684885978699
0.034760262817144394,0.990338146686554,0.0941879153251648,0.9754940867424011
0.03221845626831055,0.991392195224762,0.09354368597269058,0.9757575988769531
0.030761463567614555,0.9914799928665161,0.09708250313997269,0.9733860492706299
0.02833876758813858,0.9924461841583252,0.0965062603354454,0.9736495614051819
0.025710564106702805,0.9932367205619812,0.09947831183671951,0.9736495614051819
0.02614067867398262,0.9925340414047241,0.10228902846574783,0.9739130139350891
