loss,val_loss
0.11845484375953674,0.11946636438369751
0.05240364372730255,0.03664444386959076
0.03504089266061783,0.028019452467560768
0.030759083107113838,0.02483329363167286
0.02879735641181469,0.02265213429927826
0.027729790657758713,0.0214670542627573
0.0272664874792099,0.021088240668177605
0.026961475610733032,0.02079710178077221
0.026698587462306023,0.02028721012175083
0.0264991894364357,0.020109975710511208
0.026334086433053017,0.01987498067319393
0.02623055689036846,0.01982051320374012
0.026049107313156128,0.019623558968305588
0.025971930474042892,0.01954028382897377
